DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;P6040;DPTO;fex_c_2011
502695;1;2;05;10;2;2;1;10;1973;2;2; ;6;1; ; ;1;1;96600;2;1;2; ; ; ; ;2; ;2; ;6;5;4; ;34;05;766,687017596852
502698;1;1;05;10;1;1;1;11;1957;1;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;49;05;811,698606506239
502698;1;2;05;10;2;2;1;1;1964;2;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;4;9; ; ;43;05;811,698606506239
502698;1;3;05;10;2;1;1;5;1991;3;2; ;5;1; ; ;3; ; ;2;1;1;1;1;100;1000;2; ;2; ;4;7; ; ;16;05;811,698606506239
502698;1;4;05;10;1;2;1;8;1997;3;2; ;5;1; ; ;3; ; ;2;2;1;1;1;60;700;2; ;2; ;3;0; ; ;10;05;811,698606506239
502699;1;1;05;10;2;1;1;3;1959;1;2; ;6;2;2; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;5; ; ;48;05;766,687017596852
502699;1;2;05;10;2;2;1;8;1959;2;2; ;6;1; ; ;1;1;17380;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;48;05;766,687017596852
502700;1;1;05;10;1;1;1;2;1949;1;2; ;6;1; ; ;2;1;40000;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;58;05;790,313108135307
502700;1;2;05;10;2;2;1;6;1954;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;53;05;790,313108135307
502700;1;3;05;10;3;2;1;2;1976;3;2; ;3;1; ; ;2;1;52000;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;31;05;790,313108135307
502700;1;4;05;10;3;2;1;11;1998;4;2; ; ;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;3;2; ; ;8;05;790,313108135307
502700;1;5;05;10;5;2;1;1;1985;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;6;2;2; ;22;05;790,313108135307
