DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4295154;1;2;1;10;2;2;9;1967;49;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;03;70;810,148197395059
4295158;1;1;1;10;1;1;10;1940;76;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;1038,91616094294
4295159;1;1;1;10;1;2;10;1957;59;1;4;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;03;70;370,522424431042
4295159;1;2;1;10;2;1;7;1978;38;3;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;370,522424431042
4295159;1;3;1;10;3;2;8;1988;28;5;3;1; ; ;1;1;29508;2;1;2; ;6;3;3; ;2;14;03;70;370,522424431042
4295159;1;4;1;10;3;2;6;2016;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;03;70;370,522424431042
4295163;1;1;1;10;1;1;5;1959;57;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;1013,95891037732
4295163;1;2;1;10;2;2;5;1962;54;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;1013,95891037732
4295163;1;3;1;10;3;1;10;1991;25;3;2;2;1;24; ; ; ;2;1;2; ;6;5;4; ;2;16;03;70;1013,95891037732
4295163;1;4;1;10;4;2;8;1993;23;5;2;1; ; ;3; ; ;2;1;1;1;6;3;2;2;2;14;03;70;1013,95891037732
4295163;1;5;1;10;3;1;12;2013;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;1013,95891037732
4295163;1;6;1;10;1;2;7;2009;7;5; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;03;70;1013,95891037732
4295164;1;1;1;10;1;2;10;1942;74;1;5;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;370,522424431042
4295166;1;1;1;10;1;1;1;1952;65;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;625,365554849952
4295166;1;2;1;10;2;2;11;1950;66;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;625,365554849952
4295166;1;3;1;10;3;1;6;1983;33;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;625,365554849952
4295170;1;1;1;10;1;2;4;1942;74;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;370,522424431042
4295170;1;2;1;10;2;2;3;1961;56;5;6;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;370,522424431042
4295171;1;1;1;10;1;1;10;1981;35;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;605,29123933639
4295171;1;2;1;10;2;2;10;1976;40;2;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;03;70;605,29123933639
4295171;1;3;1;10;2;1;7;2010;6;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;03;70;605,29123933639
4295172;1;1;1;10;1;2;3;1982;35;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;966,223481236996
4295172;1;2;1;10;2;1;10;1980;36;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;03;70;966,223481236996
