DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2636912,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,961.608.080.564.186
2636912,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,961.608.080.564.186
2636913,1,1,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,15,15,698.163.580.749.765
2636914,1,3,1,80,1,1,4,9,POR EDAD,2,,2,,,,,8,2,1,3,15,15,949.197.457.418.648
2636915,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,788.209.601.359.397
2636916,1,1,1,80,1,1,4,9,POF EDAD,2,,2,,,,,8,2,1,3,15,15,818.920.009.015.155
2636917,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,15,15,70.172.581.419.716
2636917,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,70.172.581.419.716
2636920,1,2,1,80,1,1,2,3,,2,,2,,,,,9,2,1,3,15,15,106.710.934.823.212
2636925,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,392.689.393.939.396
2636927,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,474.042.496.091.691
2636929,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,698.163.580.749.765
2636931,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,542.318.364.735.444
2636933,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,791.785.558.778.109
2636934,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,73,73,242.415.167.001.926
2636934,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,73,73,242.415.167.001.926
2636936,1,1,1,80,1,1,4,5,,3,,2,,,4,,8,1,1,3,73,73,18.623.426.417.591
